key,fare_amount
2015-01-27 13:08:24.0000002,11.296623
2015-01-27 13:08:24.0000003,11.594138
2011-10-08 11:53:44.0000002,4.860382
2012-12-01 21:12:12.0000002,8.774776
2012-12-01 21:12:12.0000003,15.9821005
2012-12-01 21:12:12.0000005,10.430798
2011-10-06 12:10:20.0000001,5.5486493
2011-10-06 12:10:20.0000003,49.702366
2011-10-06 12:10:20.0000002,11.91899
2014-02-18 15:22:20.0000002,7.303891
2014-02-18 15:22:20.0000003,10.506103
2014-02-18 15:22:20.0000001,18.20428
2010-03-29 20:20:32.0000002,3.814097
2010-03-29 20:20:32.0000001,6.085162
2011-10-06 03:59:12.0000002,7.153448
2011-10-06 03:59:12.0000001,9.958649
2012-07-15 16:45:04.0000006,4.0350356
2012-07-15 16:45:04.0000002,9.060329
2012-07-15 16:45:04.0000003,4.787813
2012-07-15 16:45:04.0000004,4.364324
2014-10-29 02:09:56.0000001,6.6486835
2014-06-14 13:39:00.00000010,8.401012
2014-06-14 13:39:00.00000060,7.313723
2014-06-14 13:39:00.00000087,8.786372
2014-06-14 13:39:00.00000050,17.919031
2014-06-14 13:39:00.0000003,6.9237165
2014-06-14 13:39:00.000000158,36.907726
2014-06-14 13:39:00.00000015,27.477985
2014-06-14 13:39:00.00000073,6.13564
2014-06-14 13:39:00.00000077,16.697702
2014-06-14 13:39:00.000000145,9.684177
2014-06-14 13:39:00.00000079,6.060681
2014-06-14 13:39:00.000000121,5.503304
2014-06-14 13:39:00.00000021,11.155274
2014-06-14 13:39:00.0000005,9.025419
2014-06-14 13:39:00.000000165,7.352379
2014-06-14 13:39:00.000000184,6.279519
2014-06-14 13:39:00.00000059,6.0917873
2014-06-14 13:39:00.00000070,8.014263
2014-06-14 13:39:00.00000068,4.739572
2014-06-14 13:39:00.000000133,21.314758
2014-06-14 13:39:00.000000128,10.042435
2014-06-14 13:39:00.000000136,19.6572
2014-06-14 13:39:00.00000017,11.441916
2014-06-14 13:39:00.000000111,5.5702505
2014-06-14 13:39:00.000000115,12.147624
2014-06-14 13:39:00.000000168,5.796939
2014-06-14 13:39:00.00000031,6.9327292
2014-06-14 13:39:00.000000116,6.2834377
2014-06-14 13:39:00.00000051,5.2820764
2014-06-14 13:39:00.000000193,13.816772
2014-06-14 13:39:00.000000132,13.079833
2014-06-14 13:39:00.000000167,21.860573
2014-06-14 13:39:00.00000044,6.2085624
2014-06-14 13:39:00.000000138,7.984405
2014-06-14 13:39:00.00000066,15.166956
2014-06-14 13:39:00.00000063,10.711418
2014-06-14 13:39:00.000000154,12.6268835
2014-06-14 13:39:00.00000097,14.255009
2014-06-14 13:39:00.00000067,14.106143
2014-06-14 13:39:00.000000179,7.4235234
2014-06-14 13:39:00.00000092,10.987884
2014-06-14 13:39:00.00000029,5.590613
2014-06-14 13:39:00.000000177,5.935147
2014-06-14 13:39:00.000000192,7.532831
2014-06-14 13:39:00.000000181,7.036958
2014-06-14 13:39:00.000000120,11.220607
2014-06-14 13:39:00.0000008,5.4982085
2014-06-14 13:39:00.000000103,4.8058505
